IDCliente;MUN;LAT;LONG
2301;VALINHOS;-2.295.188;-4.702.779
2302;CAMPINAS;-2.289.429;-4.705.822
2303;CAMPINAS;-2.292.634;-4.703.974
2304;CAMPINAS;-2.283.309;-4.707.943
2305;CAMPINAS;-2.282.307;-4.707.818
2306;VALINHOS;-2.297.509;-4.701.478
2307;CAMPINAS;-2.294.956;-4.709.268
2308;CAMPINAS;-2.288.062;-4.696.944
2309;AMERICANA;-2.272.237;-473.074
2310;SAO PAULO;-2.347.084;-4.664.965
2311;PIRACICABA;-2.274.145;-4.760.181
2312;JACAREI;-2.331.105;-4.598.107
2313;SAO JOSE DOS CAMPOS;-2.322.299;-4.590.595
2314;SAO JOSE DOS CAMPOS;-2.322.828.463;-4.590.852.209
2315;SAO JOSE DOS CAMPOS;-232.374;-458.966
2316;SAO JOSE DOS CAMPOS;-2.324.187;-45.905
2317;SAO JOSE DOS CAMPOS;-2.322.836;-4.591.124
2318;SAO JOSE DOS CAMPOS;-2.317.422;-4.581.629
2319;SAO PAULO;-2.351.672;-466.704
2320;SAO PAULO;-2.355.224;-4.674.232
2321;SAO PAULO;-2.354.149;-467.306
2322;SAO PAULO;-2.353.466;-4.671.295
2323;SAO PAULO;-2.359.032;-4.673.951
2324;SAO PAULO;-2.359.551;-4.673.765
2325;SAO PAULO;-2.360.962;-4.675.296
2326;COTIA;-2.358.915;-468.169
2327;SAO PAULO;-2.361.184;-4.674.081
2328;SAO PAULO;-236.705;-4.664.785
2329;SAO BERNARDO DO CAMPO;-2.367.408;-4.657.141
2330;MAUA;-2.366.289;-4.648.223
2331;OSASCO;-2.355.164;-4.679.466
2332;SAO PAULO;-2.348.552;-4.673.883
2333;SAO PAULO;-2.346.722;-4.658.475
2334;SANTANA DE PARNAIBA;-2.346.668;-4.684.622
2335;SANTANA DE PARNAIBA;-2.346.236;-4.687.601
2336;SAO CARLOS;-220.445;-4.788.998
2337;SAO CARLOS;-2.202.384;-4.788.021
2338;SAO CARLOS;-2.203.848;-4.786.018
2339;TAUBATE;-2.301.733;-4.555.106
2340;TAUBATE;-2.299.756;-4.554.006
2341;CACAPAVA;-2.307.223;-4.571.227
2342;CACAPAVA;-2.311.919;-4.571.347
2343;PINDAMONHANGABA;-2.295.467;-4.549.489
2344;SOROCABA;-2.346.587;-4.749.623
2345;SOROCABA;-2.349.563;-4.751.121
2346;SOROCABA;-2.348.649;-4.747.117
2347;RIBEIRAO PRETO;-2.119.498;-4.775.589
2348;RIBEIRAO PRETO;-2.114.118;-4.780.482
2349;RIBEIRAO PRETO;-2.117.516;-4.779.455
2350;BAURU;-223.121;-4.905.746
2351;BAURU;-2.231.628;-4.906.815
